titulo,site,url,descricao
Atlas da Notícia,Atlas da Notícia,https://www.atlas.jor.br/,"Em parceria com o Projor/Observatório da Imprensa, o Volt está liderando o Atlas da Notícia, um levantamento inédito de dados para mapear empreendimentos jornalísticos por todo o Brasil e fornecer informações sobre jornalismo local no país para pesquisadores, ONGs, empreendedores e ao público em geral."
API Fogo Cruzado,Fogo Cruzado,https://fogocruzado.org.br/,"O Fogo Cruzado é uma ferramenta digital colaborativa e open source que mapeia tiroteios e disparos de arma de fogo na região metropolitana do Rio de Janeiro e de Recife. A plataforma de dados abertos, que inclui uma API, foi desenvolvida pelo VOLT."
Agregador de pesquisas,Poder360,https://www.poder360.com.br/pesquisas-de-opiniao/,"O VOLT desenvolveu para o site de política Poder360 um agregador de pesquisas eleitorais interativo, no qual é possível explorar dados desde o ano 2000 até as eleições deste ano. Fizemos os gráficos, o backend para alimentação de novas informações e uma API para aplicações e exploração de dados. O projeto contou com apoio do Google News Initiative."
Submetralhadoras artesanais,BBC,https://www.bbc.com/portuguese/brasil-47858443,O VOLT fez a análise de dados para uma reportagem publicada na BBC Brasil sobre o aumento de apreensões de submetralhadoras artesanais no país nos últimos anos.
@jairbolsonaro,Intercept Brasil,https://theintercept.com/2019/02/22/carlos-bolsonaro-twiter-jair-bolsonaro-presidente/,"O twitter de Jair Bolsonaro é praticamente um “Diário Não-Oficial” do governo federal, um fórum utilizado pelo mandatário para anúncios relacionados ao governo federal, funcionando quase como um “diário oficial” informal, cheio de intrigas e reviravoltas. A pedido do Intercept Brasil, o VOLT fez um estudo sobre a proximidade temporal entre os tweets da conta @jairbolsonaro e de @CarlosBolsonaro."
Políticos do Brasil,Poder360,https://www.poder360.com.br/politicos-do-brasil/,"Projeto mostra informações sobre todas as candidaturas políticas em eleições no Brasil desde 1998. Foi desenvolvido para o site Poder360 pelo Volt Data Lab em parceria com o Brasil.io, com apoio do Google News Initiative."
O que faz a Alesp?,Folha de S.Paulo,https://www1.folha.uol.com.br/poder/2018/10/assembleia-de-sp-aprova-70-de-leis-do-governo-e-20-dos-projetos-proprios.shtml,"A Folha de S.Paulo fez uma reportagem baseada em levantamento do Volt Data Lab sobre a Assembleia Legislativa de São Paulo, parte do projeto da agência para investigar a Alesp. O Volt fez a coleta dos dados, as análises e os relatórios, e a Folha finalizou a reportagem."
"Trump, Bonoro Pistola e Jacaré de Tanga: quem Bolsonaro segue no Twitter",Vortex Media,https://vortex.media/dados/24355/trump-bonoro-pistola-e-jacare-de-tanga-quem-bolsonaro-segue-no-twitter/,"Desde o início de seu mandato até 25 de novembro, o presidente Jair Bolsonaro já usou sua conta no Twitter para publicar 2.130 mensagens — 14% delas retuítes de 85 contas diferentes. Essas mensagens são compartilhadas com um público de 5,5 milhões de usuários — audiência reunida desde março de 2010, quando Bolsonaro entrou na rede."
Sobre voto nulo,UOL,https://www.uol/eleicoes/especiais/votar-nulo-anular-voto-em-branco-eleicoes-2018-.htm,"As eleições de 2018 tiveram o maior percentual de votos nulos desde 1989. A agência de conteúdo Eder Content contou a história dos motivos para isso em parceria com o VOLT, em grande reportagem publicada pelo UOL. O VOLT fez as análises estatísticas com dados do Tribunal Superior Eleitoral e também os mapas comparativos das cidades de São Paulo e Rio de Janeiro."
Investigação de milícias,Intercept Brasil,https://theintercept.com/2018/04/05/milicia-controle-rio-de-janeiro/,"Reportagem exclusiva do Intercept Brasil mostra o crescimentos das milícias no Rio de Janeiro a partir de dados do Disque Denúncia. O Volt foi responsável por organizar, analisar e visualizar esses dados a partir de interativos e gráficos estáticos, em um esforço coletivo com a equipe do veículo."
Base Brio-Volt,Brio,https://base.briohunter.org/,"Encontre jornalistas em todo o Brasil. E seja encontrado(a). Busque por nome, cidade, área de interesse, especialidade, experiências prévias e veículos. A base é mantida pelo BRIO, com desenvolvimento do Volt Data Lab."
Gênero e raça na ciência,Gênero e Número,http://www.generonumero.media/grafico-genero-e-raca-na-ciencia-brasileira/,"Produzimos um gráfico interativo para a regista digital Gênero e Número, no qual é possível se aprofundar em questões de gênero e raça em bolsas de estudo no Brasil e comparar esses dados por tipo de bolsa e faixa etária."
Tiroteios vs escolas,Jornal da Globo,https://globoplay.globo.com/v/6670902/,"O Volt Data Lab realizou o levantamento e a análise de dados especialmente para esta reportagem da TV Globo, cruzando informações disponibilizadas no Data Rio e também por nossos parceiros do Fogo Cruzado. As matérias foram ao ar primeiramente no Jornal da Globo, e depois no Bom Dia Rio e no G1."
Governo e Wikipédia,revista piauí,http://piaui.folha.uol.com.br/a-farra-dos-verbetes/,"Reportagem especial do Volt na revista piauí analisando a utilização de redes do governo para alterações na Wikipédia, nem sempre para fins benéficos."
Violência contra mulheres,UOL,https://www.uol.com.br/universa/noticias/redacao/2018/07/24/sao-paulo-teve-mais-de-1400-casos-de-estupro-em-locais-de-saude.htm,"O VOLT ajudou o UOL Universa a analisar um grande volume de dados sobre estupros no Estado de São Paulo de 2008 a 2016, com informações obtidas pela publicação por meio da Lei de Acesso à Informação (LAI)."
Tiroteios em RJ,Fogo Cruzado,https://twitter.com/fogocruzadoapp/status/960554192388677632,"Para o aplicativo Fogo Cruzado, que mapeia tiroteios no Rio de Janeiro, o Volt Data Lab fez uma análise sobre tiroteios ao redor de duas das principais vias da capital carioca - a Linha Vermelha e a Linha Amarela. O resultado foi um mapa que serviu como material de apoio para reportagem do Fantástico, da Rede Globo."
Togas de Ouro,revista piauí,https://piaui.folha.uol.com.br/togas-de-ouro/,"Gráfico feito em parceria com a revista piauí sobre salários de magistrados do Tribunal de Justiça do Estado de São Paulo, especialmente sobre diferenças no pagamento entre homens e mulheres - no geral, juízas ganham 13% a menos do que juízes."
